Code,Title,Description
mediationBody,Mediation body,The body responsible for mediation procedures.
centralPurchasingBody,Central purchasing body,"The procuring entity providing centralized purchasing activities and, possibly, ancillary purchasing activities."
processContactPoint,Process contact point,A contact point dedicated to this contracting process.
reviewContactPoint,Review contact point,The service from which information about the review procedure can be obtained.
selectedParticipant,Selected participant,A party that has already been selected to participate in the design contest.
informationService,Information service,An organization that can provide information regarding specific aspects of the contracting process.
procurementServiceProvider,Procurement service provider,An organization that provides ancillary procurement services to buyers.
eSender,TED eSender,An organization that provides data transfer services to buyers.
leadBuyer,Lead buyer,The lead buyer in a group of buyers.
awardingCentralPurchasingBody,Awarding central purchasing body,"A central purchasing body awarding public contracts or concluding framework agreements for goods, services or works intended for other buyers."
acquiringCentralPurchasingBody,Acquiring central purchasing body,"A central purchasing body acquiring goods, services or works intended for other buyers."
leadTenderer,Lead tenderer,The lead tenderer in the case of a consortium or equivalent.
evaluationBody,Evaluation body,The organization responsible for evaluating bids or requests to participate.
submissionReceiptBody,Submission receipt body,The organization responsible for receiving bids or requests to participate.
